"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","0.0000","0.0000","0.9210","0.0000","0.0790","0.0000","0.0000","0.9900","0.0000","0.0100","1"
"2","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","2"
"3","0.0000","0.0000","0.9780","0.0000","0.0220","0.0000","0.0000","0.9970","0.0000","0.0030","3"
"4","0.0000","0.0000","0.9980","0.0000","0.0020","0.0000","0.0000","1.0000","0.0000","0.0000","4"
"5","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","5"
"6","0.0000","0.0000","0.9890","0.0000","0.0110","0.0000","0.0000","0.9970","0.0000","0.0030","6"
"7","0.0000","0.0000","0.9100","0.0030","0.0870","0.0000","0.0000","0.9770","0.0030","0.0200","7"
"8","0.0000","0.0000","0.8769","0.0000","0.1231","0.0000","0.0000","0.9620","0.0000","0.0380","8"
"9","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","9"
"10","0.0000","0.0010","0.9820","0.0070","0.0100","0.0000","0.0010","0.9900","0.0070","0.0020","10"
"11","0.0000","0.0000","0.9730","0.0040","0.0230","0.0000","0.0000","0.9780","0.0030","0.0190","11"
"12","0.0030","0.0020","0.9419","0.0200","0.0330","0.0030","0.0020","0.9820","0.0080","0.0050","12"
"13","0.0010","0.0050","0.4920","0.4500","0.0520","0.0000","0.0000","0.2100","0.7720","0.0180","13"
"14","0.0000","0.0000","0.9980","0.0000","0.0020","0.0000","0.0000","1.0000","0.0000","0.0000","14"
"15","0.0000","0.0000","0.9870","0.0000","0.0130","0.0000","0.0000","0.9910","0.0000","0.0090","15"
"16","0.0000","0.0000","0.9860","0.0000","0.0140","0.0000","0.0000","0.9920","0.0000","0.0080","16"
"17","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","17"
"18","0.0000","0.0000","0.9990","0.0000","0.0010","0.0000","0.0000","1.0000","0.0000","0.0000","18"
"19","0.0000","0.0000","0.9970","0.0000","0.0030","0.0000","0.0000","0.9990","0.0000","0.0010","19"
"20","0.0000","0.0000","0.8490","0.0000","0.1510","0.0000","0.0000","0.9390","0.0000","0.0610","20"
"21","0.0000","0.0000","0.9950","0.0000","0.0050","0.0000","0.0000","1.0000","0.0000","0.0000","21"
"22","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","22"
"23","0.0000","0.0000","0.9870","0.0000","0.0130","0.0000","0.0000","0.9960","0.0000","0.0040","23"
"24","0.0000","0.0000","0.7400","0.0000","0.2600","0.0000","0.0000","0.9110","0.0000","0.0890","24"
"25","0.0000","0.0000","0.9910","0.0000","0.0090","0.0000","0.0000","0.9980","0.0000","0.0020","25"
"26","0.0000","0.0000","0.2903","0.0240","0.6857","0.0000","0.0000","0.0620","0.0030","0.9350","26"
"27","0.0010","0.0809","0.2817","0.0280","0.6084","0.0010","0.1009","0.5654","0.0150","0.3177","27"
"28","0.0000","0.0000","0.9180","0.0000","0.0820","0.0000","0.0000","0.9530","0.0000","0.0470","28"
"29","0.0000","0.0000","0.4394","0.0000","0.5606","0.0000","0.0000","0.1682","0.0000","0.8318","29"
"30","0.0000","0.0030","0.6620","0.0000","0.3350","0.0000","0.0010","0.8230","0.0000","0.1760","30"
"31","0.0000","0.0030","0.0160","0.2010","0.7800","0.0000","0.0000","0.0010","0.1920","0.8070","31"
"32","0.0000","0.0010","0.6214","0.0000","0.3776","0.0000","0.0000","0.7920","0.0000","0.2080","32"
"33","0.0000","0.0000","0.9830","0.0000","0.0170","0.0000","0.0000","0.9950","0.0000","0.0050","33"
"34","0.0020","0.0000","0.5630","0.0030","0.4320","0.0010","0.0000","0.8641","0.0010","0.1339","34"
"35","0.0000","0.0000","0.9920","0.0010","0.0070","0.0000","0.0000","0.9980","0.0000","0.0020","35"
"36","0.0000","0.0060","0.2917","0.0090","0.6933","0.0000","0.0030","0.2022","0.0100","0.7848","36"
"37","0.0000","0.0010","0.4600","0.0010","0.5380","0.0000","0.0000","0.7522","0.0010","0.2468","37"
"38","0.0000","0.0000","0.9240","0.0000","0.0760","0.0000","0.0000","0.9790","0.0000","0.0210","38"
"39","0.0000","0.0020","0.3590","0.1110","0.5280","0.0000","0.0000","0.7280","0.1320","0.1400","39"
"40","0.0000","0.0000","0.4970","0.0000","0.5030","0.0000","0.0000","0.7370","0.0000","0.2630","40"
"41","0.0000","0.0000","0.9189","0.0000","0.0811","0.0000","0.0000","0.9440","0.0000","0.0560","41"
"42","0.0000","0.0000","0.9990","0.0000","0.0010","0.0000","0.0000","1.0000","0.0000","0.0000","42"
"43","0.0000","0.0000","0.8509","0.0020","0.1471","0.0000","0.0000","0.9300","0.0020","0.0680","43"
"44","0.0000","0.0000","0.9620","0.0000","0.0380","0.0000","0.0000","0.9930","0.0000","0.0070","44"
"45","0.0000","0.0000","0.9990","0.0000","0.0010","0.0000","0.0000","1.0000","0.0000","0.0000","45"
"46","0.0000","0.0000","0.9570","0.0000","0.0430","0.0000","0.0000","0.9790","0.0000","0.0210","46"
"47","0.0000","0.0000","0.9760","0.0020","0.0220","0.0000","0.0000","0.9960","0.0010","0.0030","47"
"48","0.0060","0.0090","0.2893","0.0000","0.6957","0.0020","0.0190","0.5840","0.0000","0.3950","48"
